user,session,time,x,y,rotation
17,3163,1363574527808,602,255,-1
17,3163,1363574527841,602,255,-1
17,3163,1363574527904,602,255,-1
17,3163,1363574552951,447,511,1
17,3163,1363574553479,447,511,1
17,3163,1363574553543,447,511,1
17,3163,1363574554623,447,511,1
17,3163,1363574554655,447,511,1
17,3163,1363574555431,447,511,1
17,3163,1363574555511,447,511,1
17,3163,1363574556135,447,511,1
17,3163,1363574556167,447,511,1
17,3163,1363574556927,447,511,1
17,3163,1363574556951,447,511,1
17,3163,1363574556975,447,511,1
17,3163,1363574557791,447,511,-1
17,3163,1363574557799,447,511,-1
17,3163,1363574557817,447,511,-1
17,3163,1363574557831,447,511,-1
17,3163,1363574557867,447,511,-1
17,3163,1363574558143,447,511,-1
17,3163,1363574558159,447,511,-1
17,3163,1363574558175,447,511,-1
17,3163,1363574558191,447,511,-1
17,3163,1363574558247,447,511,-1
18,3419,1365206463573,849,548,-1
18,3419,1365206463635,849,548,-1
18,3419,1365206463673,849,548,-1
18,3419,1365206463703,849,548,-1
18,3419,1365206463757,849,548,-1
18,3419,1365206465379,849,548,-1
18,3419,1365206465425,849,548,-1
18,3419,1365206465495,849,548,-1
18,3419,1365206466499,849,548,1
18,3419,1365206466521,849,548,1
18,3419,1365206466545,849,548,1
18,3419,1365206466575,849,548,1
18,3419,1365206466607,849,548,1
18,3419,1365206466869,849,548,1
18,3419,1365206466891,849,548,1
18,3419,1365206466907,849,548,1
18,3419,1365206466931,849,548,1
18,3419,1365206466961,849,548,1
18,3419,1365206553340,1442,640,-1
18,3419,1365206553362,1443,641,-1
18,3419,1365206553378,1444,642,-1
18,3419,1365206553402,1444,642,-1
18,3419,1365206553416,1444,642,-1
18,3419,1365206553440,1444,642,-1
18,3419,1365206553470,1444,642,-1
18,3419,1365206553510,1444,642,-1
18,3419,1365206553734,1444,642,-1
18,3419,1365206553748,1444,642,-1
18,3419,1365206553764,1444,642,-1
18,3419,1365206553780,1444,642,-1
18,3419,1365206553794,1444,642,-1
18,3419,1365206553810,1444,642,-1
18,3419,1365206553834,1444,642,-1
18,3419,1365206554066,1444,642,-1
18,3419,1365206554080,1444,642,-1
18,3419,1365206554096,1444,642,-1
18,3419,1365206554112,1444,642,-1
18,3419,1365206554134,1444,642,-1
18,3419,1365206554158,1444,642,-1
18,3419,1365206554391,1444,642,-1
18,3419,1365206554413,1444,642,-1
18,3419,1365206554429,1444,642,-1
18,3419,1365206554445,1444,642,-1
18,3419,1365206554459,1444,642,-1
18,3419,1365206554475,1444,642,-1
18,3419,1365206554498,1444,642,-1
18,3419,1365206554744,1444,642,-1
18,3419,1365206554760,1444,642,-1
18,3419,1365206554784,1444,642,-1
18,3419,1365206554798,1444,642,-1
18,3419,1365206554822,1444,642,-1
18,3419,1365206554838,1444,642,-1
18,3419,1365206555502,1444,642,-1
18,3419,1365206555524,1444,642,-1
18,3419,1365206555548,1444,642,-1
18,3419,1365206555570,1444,642,-1
18,3419,1365206555602,1444,642,-1
18,3419,1365206555640,1444,642,-1
18,3419,1365206555902,1444,642,-1
18,3419,1365206555957,1444,642,-1
18,3419,1365206555981,1444,642,-1
18,3419,1365206556003,1444,642,-1
18,3419,1365206556035,1444,642,-1
18,3419,1365206556289,1444,642,-1
18,3419,1365206556313,1444,642,-1
18,3419,1365206556334,1444,642,-1
18,3419,1365206556358,1444,642,-1
18,3419,1365206556814,1444,642,-1
18,3419,1365206556898,1444,642,-1
18,3419,1365206556938,1444,642,-1
18,3419,1365206556968,1444,642,-1
18,3419,1365206559779,1444,642,1
18,3419,1365206568866,1444,642,1
18,3419,1365206568998,1444,642,1
18,3419,1365206569098,1444,642,1
18,3419,1365206569128,1444,642,1
18,3419,1365206569160,1444,642,1
18,3419,1365206569198,1444,642,1
18,3419,1365206569568,1444,642,1
18,3419,1365206569609,1444,642,1
18,3419,1365206572440,1444,642,1
18,3419,1365206572727,1444,642,1
18,3419,1365206573090,1444,642,1
18,3419,1365206576502,1444,642,1
18,3419,1365206576580,1444,642,1
18,3419,1365206576640,1444,642,1
18,3419,1365206576680,1444,642,1
18,3419,1365206576972,1444,642,1
18,3419,1365206577004,1444,642,1
18,3419,1365206584092,1444,642,1
18,3420,1365214662081,1582,558,-1
18,3420,1365214662103,1583,560,-1
18,3420,1365214662135,1583,560,-1
18,3420,1365214662157,1583,560,-1
18,3420,1365214662181,1583,560,-1
18,3420,1365214662227,1583,560,-1
18,3420,1365214662443,1584,560,-1
18,3420,1365214662467,1584,560,-1
18,3420,1365214662481,1584,560,-1
18,3420,1365214662505,1584,560,-1
18,3420,1365214662529,1584,560,-1
18,3420,1365214662775,1584,560,-1
18,3420,1365214662799,1584,560,-1
18,3420,1365214662813,1584,560,-1
18,3420,1365214662829,1584,560,-1
18,3420,1365214662853,1584,560,-1
18,3420,1365214662875,1584,560,-1
18,3420,1365214663139,1584,560,-1
18,3420,1365214663161,1584,560,-1
18,3420,1365214663193,1584,560,-1
18,3420,1365214663625,1584,560,1
18,3420,1365214663641,1584,560,1
18,3420,1365214663655,1584,560,1
18,3420,1365214663671,1584,560,1
18,3420,1365214663687,1584,561,1
18,3420,1365214663703,1584,561,1
18,3420,1365214663717,1583,561,1
18,3420,1365214663741,1583,561,1
18,3420,1365214664003,1585,557,1
18,3420,1365214664027,1585,557,1
18,3420,1365214664043,1585,557,1
18,3420,1365214664065,1585,557,1
18,3420,1365214664089,1585,557,1
18,3420,1365214664360,1585,557,1
18,3420,1365214664376,1585,557,1
18,3420,1365214664397,1585,557,1
18,3420,1365214664421,1585,557,1
18,3420,1365214664459,1584,557,1
18,3420,1365214668723,1557,576,-1
18,3420,1365214668879,1557,576,-1
18,3420,1365214669171,1557,576,-1
18,3420,1365214669289,1557,576,-1
18,3420,1365214669519,1555,576,-1
18,3420,1365214669697,1554,574,-1
18,3420,1365214670223,1552,575,1
18,3420,1365214670369,1552,576,1
18,3420,1365214670477,1552,576,1
18,3420,1365214673985,1552,556,1
18,3420,1365214674015,1552,556,1
18,3420,1365214674039,1552,556,1
18,3420,1365214674069,1552,556,1
18,3420,1365214674093,1552,557,1
18,3420,1365214674123,1552,557,1
18,3420,1365214677561,1561,700,-1
18,3420,1365214677607,1561,700,-1
18,3420,1365214677655,1561,701,-1
18,3420,1365214677693,1561,701,-1
18,3420,1365214677730,1561,701,-1
18,3420,1365214677778,1561,701,-1
18,3420,1365214678009,1563,703,1
18,3420,1365214678041,1563,703,1
18,3420,1365214678063,1563,703,1
18,3420,1365214678087,1563,703,1
18,3420,1365214678125,1563,703,1
18,3420,1365214679585,1608,681,-1
18,3420,1365214679631,1608,681,-1
18,3420,1365214679701,1608,681,-1
18,3420,1365214682289,1475,610,1
18,3420,1365214682313,1477,612,1
18,3420,1365214682351,1480,612,1
18,3420,1365214682389,1480,612,1
18,3420,1365214683015,1601,611,1
18,3420,1365214683085,1601,611,1
18,3420,1365214686723,1592,612,1
18,3420,1365214686809,1592,612,1
18,3420,1365214686869,1592,612,1
18,3420,1365214686915,1592,612,1
18,3420,1365214686963,1592,612,1
18,3420,1365214687543,1592,612,1
18,3420,1365214687573,1592,612,1
18,3420,1365214687597,1592,612,1
18,3420,1365214687643,1592,612,1
18,3420,1365214688012,1592,612,1
18,3420,1365214688067,1592,612,1
18,3420,1365214688383,1619,622,1
